,Image,Number identified - ensembled,Number identifiable - ensembled,Percentage - ensembled,RMSE_cx - ensembled,RMSE_cy - ensembled,RMSE_c - ensembled,RMSE_sigmax - ensembled,RMSE_sigmay - ensembled,RMSE_sigma - ensembled,MaxE_sigmax - ensembled,MaxE_sigmay - ensembled,MaxE_sigma - ensembled,RMSE_amplitude - ensembled,RMSEPixel - ensembled
29,290,80,79,101.27,2.2508008893902094,0.09435697218447804,2.252777814583493,7.755524106610423,2.3434394579468454,8.101843164445828,56.84237551979579,84.95218630519412,102.2151144046999,10.61911669535129,265522.83648292586
36,292,80,79,101.27,2.016801255787008,0.14739310265834535,2.0221800196954045,6.929485770711367,3.0227675013126887,7.560085741146292,48.24935818303943,84.87155087879458,97.62776609985015,12.620591590838265,308794.19472414954
32,295,79,79,100.0,2.043640031278191,0.05956692948365969,2.0445079595176043,5.31766754101585,1.2210456501937301,5.456055402635735,55.046851455759224,12.23980476465512,56.39121098069535,11.053637223822598,312969.2571437544
28,308,79,79,100.0,2.107767070011298,0.11278956399222875,2.110782676442454,8.91527392105408,2.7941541968878916,9.342880003693358,54.4191410769002,23.700195598123795,59.35606276478329,14.577518976711223,396666.2802381667
31,340,79,79,100.0,2.4343525291453623,0.07793083860771104,2.4355996082612847,7.855742250046169,2.103267690396467,8.132430219597715,54.76841135789707,21.85202457202385,58.966853914416724,13.567627031896667,350541.6425205925
22,345,80,79,101.27,2.3219463757281473,0.13405215689513486,2.325812750959397,8.75403083214495,3.366744606701235,9.379127094612604,52.00552020741169,84.84956731234841,99.51895902357626,11.335423626956429,294103.9018073005
26,348,80,79,101.27,2.2840333131273294,0.12363949682489407,2.2873772973977244,7.759732348187323,2.938345447344135,8.297428522345507,54.1202725356939,84.8745318519727,100.66126393220637,11.369771892616768,301082.2826519208
37,352,79,79,100.0,2.305791065788937,0.07858629088630179,2.3071298715476223,7.502714686452867,2.276164425068415,7.840385969852669,53.415103999648274,33.53229487176835,63.06812296763289,12.145596533908826,351203.95704358566
38,354,81,79,102.53,1.9696578680252028,0.10714532359324407,1.9725699575532138,9.583334854104034,3.240473006192752,10.116371495242209,87.9357925316516,85.39831155209127,122.57885308697303,11.414683497744756,266978.5722847109
20,364,79,79,100.0,2.055376165541824,0.057561274210557574,2.0561820158162445,7.077450179640865,1.1194999406730581,7.165443542619361,45.208575899487094,15.19028091813817,47.69234707195315,8.815416587074994,264546.4882316324
23,367,79,79,100.0,2.388298946641534,0.06175236080550623,2.3890971542811132,8.128463548065493,1.922990403805476,8.352832558201882,47.819870034981804,23.085470287203925,53.10064885238151,12.23467270378081,324646.7833783493
25,385,79,79,100.0,2.2241179273428657,0.08570165655442698,2.2257684804723286,5.773096468991101,1.1884368524359785,5.8941517619166754,57.43886123870989,13.389616056733573,58.97884873873435,13.381495760750514,384919.27555060637
21,386,80,79,101.27,2.427840980773752,0.16056783011230696,2.4331448489540097,9.766798510735702,3.678167779241839,10.436439592196276,49.699859879315355,85.2717324011386,98.69824931940268,11.049085959042337,249279.5217929709
34,395,79,79,100.0,1.9990216194807378,0.09860720763902331,2.001452176932978,7.274838089801134,1.55456308828421,7.439081638769475,56.23012440009396,14.536938872795416,58.07882128488347,11.148507635983233,302158.074871734
24,398,80,79,101.27,2.60622749504149,0.08862596810089313,2.607733943126112,7.043478995795501,2.350608101286742,7.425358901093418,46.97330905564038,85.25108812176848,97.3357066527091,12.752035033530634,338455.52858907566
27,399,79,79,100.0,2.34471376010887,0.09384683460456023,2.3465911116360196,8.9703497420526,2.441407380579572,9.29664694891075,42.98165057576387,26.630694347432943,50.56299207566201,14.202915703788358,365970.21826232056
