                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 0.4783,                0.27082,                0.81787,                0.99744,                0.98779,                0.99341,                0.94086,                 0.4108,                0.23314,                0.80399,              0.0010397,              0.0010397,              0.0010397
                     99,                0.50171,                0.27698,                0.82392,                0.99757,                0.97436,                0.98217,                0.88038,                0.58429,                0.26625,                0.83322,              0.0010298,              0.0010298,              0.0010298
                    100,                0.48096,                0.26845,                0.83242,                0.99742,                 0.9813,                0.98903,                0.92556,                0.45953,                0.23826,                0.82452,              0.0010199,              0.0010199,              0.0010199
                    101,                0.45261,                0.26397,                0.81809,                0.99824,                0.98661,                0.99128,                0.91318,                0.50597,                0.25332,                0.81722,                0.00101,                0.00101,                0.00101
                    102,                0.45493,                0.26676,                0.81401,                0.99806,                 0.9772,                0.98592,                0.92833,                0.43564,                0.23713,                0.80338,              0.0010001,              0.0010001,              0.0010001
                    103,                0.41914,                0.25726,                0.81233,                0.99754,                0.98479,                0.99055,                0.92701,                 0.4571,                0.24684,                0.81472,              0.0009902,              0.0009902,              0.0009902
                    104,                0.45681,                0.27264,                0.81664,                 0.9975,                0.98431,                0.99024,                0.95526,                0.36666,                0.22228,                0.79855,              0.0009803,              0.0009803,              0.0009803
                    105,                0.51885,                0.28111,                0.83206,                0.99775,                0.98582,                0.99106,                 0.9404,                0.40026,                0.23538,                0.80824,              0.0009704,              0.0009704,              0.0009704
                    106,                0.45551,                0.26496,                0.82015,                0.99791,                0.98299,                0.99063,                0.92176,                0.47578,                0.24238,                0.81604,              0.0009605,              0.0009605,              0.0009605
                    107,                0.43773,                0.25718,                0.81409,                0.99776,                0.98649,                0.99161,                0.93696,                0.43565,                0.24236,                0.81424,              0.0009506,              0.0009506,              0.0009506
                    108,                0.44211,                0.26191,                0.81869,                0.99806,                0.97988,                0.98923,                0.92522,                0.44694,                 0.2433,                0.81801,              0.0009407,              0.0009407,              0.0009407
                    109,                0.42634,                  0.258,                0.81436,                0.99801,                0.98859,                0.99486,                0.94773,                0.44257,                0.23641,                0.81814,              0.0009308,              0.0009308,              0.0009308
                    110,                0.39425,                0.24562,                0.80957,                0.99782,                0.97227,                0.98321,                0.93759,                0.42987,                0.22754,                 0.8117,              0.0009209,              0.0009209,              0.0009209
                    111,                0.38811,                 0.2429,                0.80469,                0.99787,                0.98669,                0.99196,                0.94649,                0.42309,                 0.2246,                0.81012,               0.000911,               0.000911,               0.000911
                    112,                  0.439,                0.25797,                0.81657,                0.99823,                0.98079,                0.98976,                0.95258,                0.37852,                0.22271,                0.79825,              0.0009011,              0.0009011,              0.0009011
                    113,                0.40006,                0.24506,                0.80824,                0.99697,                 0.9911,                0.99494,                0.96018,                0.37241,                0.21171,                0.80153,              0.0008912,              0.0008912,              0.0008912
                    114,                0.39042,                0.23953,                0.80785,                0.99822,                 0.9772,                0.98396,                0.92765,                0.42278,                0.22316,                0.80988,              0.0008813,              0.0008813,              0.0008813
                    115,                0.38318,                0.24227,                0.80571,                0.99791,                0.98479,                0.99071,                0.96071,                0.35806,                 0.2107,                0.79622,              0.0008714,              0.0008714,              0.0008714
                    116,                0.36037,                0.23327,                0.80374,                0.99823,                0.98376,                 0.9915,                0.94928,                0.40699,                0.21941,                0.80294,              0.0008615,              0.0008615,              0.0008615
                    117,                0.39017,                0.24125,                0.80497,                 0.9985,                0.97972,                0.99077,                0.94026,                0.42456,                0.22144,                0.81064,              0.0008516,              0.0008516,              0.0008516
                    118,                0.37332,                0.23327,                 0.8069,                0.99791,                0.98431,                 0.9921,                0.95517,                0.37711,                0.20702,                0.80104,              0.0008417,              0.0008417,              0.0008417
                    119,                0.42901,                0.24702,                0.82017,                0.99794,                0.98431,                0.99129,                0.92746,                0.48473,                0.24638,                 0.8171,              0.0008318,              0.0008318,              0.0008318
